id,db_id,query,question,query_res
21,driving_school,"SELECT T1.city FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn"";",In what city does Janessa Sawayn live?,"('Damianfort',)
"
22,driving_school,"SELECT T1.country ,  T1.state_province_county FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn"";",Which country and state does staff with first name as Janessa and last name as Sawayn lived?,"('USA', 'Connecticut')
"
23,driving_school,"SELECT T1.country ,  T1.state_province_county FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn"";",In which country and state does Janessa Sawayn live?,"('USA', 'Connecticut')
"
24,driving_school,"SELECT sum(T1.lesson_time) FROM Lessons AS T1 JOIN Customers AS T2 ON T1.customer_id  = T2.customer_id WHERE T2.first_name = ""Rylan"" AND T2.last_name = ""Goodwin"";",How long is the total lesson time took by customer with first name as Rylan and last name as Goodwin?,"(11,)
"
25,driving_school,"SELECT sum(T1.lesson_time) FROM Lessons AS T1 JOIN Customers AS T2 ON T1.customer_id  = T2.customer_id WHERE T2.first_name = ""Rylan"" AND T2.last_name = ""Goodwin"";",How long is the total lesson time took by the customer named Rylan Goodwin?,"(11,)
"
26,driving_school,"SELECT T1.zip_postcode FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn"";",What is the zip code of staff with first name as Janessa and last name as Sawayn lived?,"('61121',)
"
27,driving_school,"SELECT T1.zip_postcode FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn"";",What is the zip code of the hosue of the employee named Janessa Sawayn?,"('61121',)
"
28,driving_school,"SELECT count(*) FROM Addresses WHERE state_province_county = ""Georgia"";",How many staff live in state Georgia?,"(2,)
"
29,driving_school,"SELECT count(*) FROM Addresses WHERE state_province_county = ""Georgia"";",How many employees live in Georgia?,"(2,)
"
30,driving_school,"SELECT T2.first_name ,  T2.last_name FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id WHERE T1.city = ""Damianfort"";",Find out the first name and last name of staff lived in city Damianfort.,"('Janessa', 'Sawayn')
('Jedidiah', 'Herzog')
"
31,driving_school,"SELECT T2.first_name ,  T2.last_name FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id WHERE T1.city = ""Damianfort"";",What is the first and last name of all employees who live in the city Damianfort?,"('Janessa', 'Sawayn')
('Jedidiah', 'Herzog')
"
32,driving_school,"SELECT T1.city ,  count(*) FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id GROUP BY T1.city ORDER BY count(*) DESC LIMIT 1;",Which city lives most of staffs? List the city name and number of staffs.,"('Port Melyssa', 4)
"
33,driving_school,"SELECT T1.city ,  count(*) FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id GROUP BY T1.city ORDER BY count(*) DESC LIMIT 1;",In which city do the most employees live and how many of them live there?,"('Port Melyssa', 4)
"
34,driving_school,SELECT T1.state_province_county FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id GROUP BY T1.state_province_county HAVING count(*) BETWEEN 2 AND 4;,List the states which have between 2 to 4 staffs living there.,"('Connecticut',)
('Louisiana',)
"
35,driving_school,SELECT T1.state_province_county FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id GROUP BY T1.state_province_county HAVING count(*) BETWEEN 2 AND 4;,What are the names of the states that have 2 to 4 employees living there?,"('Connecticut',)
('Louisiana',)
"
36,driving_school,"SELECT first_name ,  last_name FROM Customers;",List the first name and last name of all customers.,"('Carole', 'Bernhard')
('Genevieve', 'Terry')
('Clara', 'Ortiz')
('Jordy', 'Tromp')
('Millie', 'Bruen')
('Amya', 'Spinka')
('Marina', 'Koelpin')
('Dianna', 'Trantow')
('Leif', 'Mertz')
('Rylan', 'Goodwin')
('Ray', 'Kohler')
('Omer', 'Leuschke')
('Sigrid', 'Schmeler')
('Estelle', 'Grant')
('Dameon', 'Sanford')
"
37,driving_school,"SELECT first_name ,  last_name FROM Customers;",What are the first and last names for all customers?,"('Carole', 'Bernhard')
('Genevieve', 'Terry')
('Clara', 'Ortiz')
('Jordy', 'Tromp')
('Millie', 'Bruen')
('Amya', 'Spinka')
('Marina', 'Koelpin')
('Dianna', 'Trantow')
('Leif', 'Mertz')
('Rylan', 'Goodwin')
('Ray', 'Kohler')
('Omer', 'Leuschke')
('Sigrid', 'Schmeler')
('Estelle', 'Grant')
('Dameon', 'Sanford')
"
38,driving_school,"SELECT email_address ,  date_of_birth FROM Customers WHERE first_name = ""Carole""",List email address and birthday of customer whose first name as Carole.,"('everette.goyette@example.org', '1998-12-15 13:24:40')
"
39,driving_school,"SELECT email_address ,  date_of_birth FROM Customers WHERE first_name = ""Carole""",What are the email addresses and date of births for all customers who have a first name of Carole?,"('everette.goyette@example.org', '1998-12-15 13:24:40')
"
40,driving_school,"SELECT phone_number ,  email_address FROM Customers WHERE amount_outstanding  >  2000;",List phone number and email address of customer with more than 2000 outstanding balance.,"('+14(5)2351480248', 'huel.jana@example.org')
('374-483-2758x85087', 'hilario.sporer@example.org')
('218.550.1362', 'afranecki@example.com')
('1-618-535-9750', 'asha.kilback@example.org')
('1-673-962-8158x7646', 'kozey.citlalli@example.org')
('(662)490-3108', 'mayert.judy@example.com')
('206-054-0689x05861', 'kroberts@example.org')
('753.921.0871', 'mariela28@example.org')
('(297)122-0086', 'karina.carroll@example.net')
('417.136.2900x672', 'myrl.lind@example.net')
('192-395-2411', 'wehner.harold@example.com')
('1-875-045-0806', 'ehowell@example.com')
('(729)396-4354x3576', 'kitty.hand@example.net')
"
41,driving_school,"SELECT phone_number ,  email_address FROM Customers WHERE amount_outstanding  >  2000;",What are the phone numbers and email addresses of all customers who have an outstanding balance of more than 2000?,"('+14(5)2351480248', 'huel.jana@example.org')
('374-483-2758x85087', 'hilario.sporer@example.org')
('218.550.1362', 'afranecki@example.com')
('1-618-535-9750', 'asha.kilback@example.org')
('1-673-962-8158x7646', 'kozey.citlalli@example.org')
('(662)490-3108', 'mayert.judy@example.com')
('206-054-0689x05861', 'kroberts@example.org')
('753.921.0871', 'mariela28@example.org')
('(297)122-0086', 'karina.carroll@example.net')
('417.136.2900x672', 'myrl.lind@example.net')
('192-395-2411', 'wehner.harold@example.com')
('1-875-045-0806', 'ehowell@example.com')
('(729)396-4354x3576', 'kitty.hand@example.net')
"
42,driving_school,"SELECT customer_status_code ,  cell_mobile_phone_number ,  email_address FROM Customers WHERE first_name = ""Marina"" OR last_name  =  ""Kohler""","What is the status code, mobile phone number and email address of customer with last name as Kohler or first name as Marina?","('Bad Customer', '848-099-2095x785', 'mayert.judy@example.com')
('Good Customer', '577-584-4864', 'karina.carroll@example.net')
"
43,driving_school,"SELECT customer_status_code ,  cell_mobile_phone_number ,  email_address FROM Customers WHERE first_name = ""Marina"" OR last_name  =  ""Kohler""","What is the status code, phone number, and email address of the customer whose last name is Kohler or whose first name is Marina?","('Bad Customer', '848-099-2095x785', 'mayert.judy@example.com')
('Good Customer', '577-584-4864', 'karina.carroll@example.net')
"
44,driving_school,SELECT date_of_birth FROM Customers WHERE customer_status_code  =  'Good Customer',When are the birthdays of customer who are classified as 'Good Customer' status?,"('1994-06-21 01:34:56',)
('1993-02-07 05:40:26',)
('1993-03-08 08:48:42',)
('1994-05-07 01:32:16',)
('1988-09-19 14:45:56',)
('1996-05-23 01:21:54',)
"
45,driving_school,SELECT date_of_birth FROM Customers WHERE customer_status_code  =  'Good Customer',What is the date of birth of every customer whose status code is 'Good Customer'?,"('1994-06-21 01:34:56',)
('1993-02-07 05:40:26',)
('1993-03-08 08:48:42',)
('1994-05-07 01:32:16',)
('1988-09-19 14:45:56',)
('1996-05-23 01:21:54',)
"
46,driving_school,"SELECT date_became_customer FROM Customers WHERE first_name = ""Carole"" AND last_name = ""Bernhard"";",When did customer with first name as Carole and last name as Bernhard became a customer?,"('2016-05-11 17:03:48',)
"
47,driving_school,"SELECT date_became_customer FROM Customers WHERE first_name = ""Carole"" AND last_name = ""Bernhard"";",When did Carole Bernhard first become a customer?,"('2016-05-11 17:03:48',)
"
48,driving_school,SELECT count(*) FROM Customers;,How many customers in total?,"(15,)
"
49,driving_school,SELECT count(*) FROM Customers;,How many customers are there?,"(15,)
"
50,driving_school,"SELECT customer_status_code , count(*) FROM Customers GROUP BY customer_status_code;",List all customer status codes and the number of customers having each status code.,"('Bad Customer', 9)
('Good Customer', 6)
"
51,driving_school,"SELECT customer_status_code , count(*) FROM Customers GROUP BY customer_status_code;","For each customer status code, how many customers are classified that way?","('Bad Customer', 9)
('Good Customer', 6)
"
52,driving_school,SELECT customer_status_code FROM Customers GROUP BY customer_status_code ORDER BY count(*) ASC LIMIT 1;,Which customer status code has least number of customers?,"('Good Customer',)
"
53,driving_school,SELECT customer_status_code FROM Customers GROUP BY customer_status_code ORDER BY count(*) ASC LIMIT 1;,What is the status code with the least number of customers?,"('Good Customer',)
"
54,driving_school,"SELECT count(*) FROM Lessons AS T1 JOIN Customers AS T2 ON T1.customer_id  = T2.customer_id WHERE T2.first_name = ""Rylan"" AND T2.last_name = ""Goodwin"" AND T1.lesson_status_code = ""Completed"";",How many lessons taken by customer with first name as Rylan and last name as Goodwin were completed?,"(1,)
"
55,driving_school,"SELECT count(*) FROM Lessons AS T1 JOIN Customers AS T2 ON T1.customer_id  = T2.customer_id WHERE T2.first_name = ""Rylan"" AND T2.last_name = ""Goodwin"" AND T1.lesson_status_code = ""Completed"";",How many lessons did the customer Ryan Goodwin complete?,"(1,)
"
56,driving_school,"SELECT max(amount_outstanding) ,  min(amount_outstanding) ,  avg(amount_outstanding) FROM Customers;","What is maximum, minimum and average amount of outstanding of customer?","(9500.0, 255.0, 5643.733333333334)
"
57,driving_school,"SELECT max(amount_outstanding) ,  min(amount_outstanding) ,  avg(amount_outstanding) FROM Customers;","What is the maximum, minimum, and average amount of money outsanding for all customers?","(9500.0, 255.0, 5643.733333333334)
"
58,driving_school,"SELECT first_name ,  last_name FROM Customers WHERE amount_outstanding BETWEEN 1000 AND 3000;",List the first name and last name of customers have the amount of outstanding between 1000 and 3000.,"('Rylan', 'Goodwin')
('Omer', 'Leuschke')
('Sigrid', 'Schmeler')
"
59,driving_school,"SELECT first_name ,  last_name FROM Customers WHERE amount_outstanding BETWEEN 1000 AND 3000;",What are the first and last names of all customers with between 1000 and 3000 dollars outstanding?,"('Rylan', 'Goodwin')
('Omer', 'Leuschke')
('Sigrid', 'Schmeler')
"
60,driving_school,"SELECT T1.first_name ,  T1.last_name FROM Customers AS T1 JOIN Addresses AS T2 ON T1.customer_address_id = T2.address_id WHERE T2.city = ""Lockmanfurt"";",List first name and last name of customers lived in city Lockmanfurt.,"('Sigrid', 'Schmeler')
"
61,driving_school,"SELECT T1.first_name ,  T1.last_name FROM Customers AS T1 JOIN Addresses AS T2 ON T1.customer_address_id = T2.address_id WHERE T2.city = ""Lockmanfurt"";",What are the first and last names of all customers who lived in Lockmanfurt?,"('Sigrid', 'Schmeler')
"
62,driving_school,"SELECT T2.country FROM Customers AS T1 JOIN Addresses AS T2 ON T1.customer_address_id = T2.address_id WHERE T1.first_name = ""Carole"" AND T1.last_name = ""Bernhard""",Which country does customer with first name as Carole and last name as Bernhard lived in?,"('USA',)
"
63,driving_school,"SELECT T2.country FROM Customers AS T1 JOIN Addresses AS T2 ON T1.customer_address_id = T2.address_id WHERE T1.first_name = ""Carole"" AND T1.last_name = ""Bernhard""",What is the country in which the customer Carole Bernhard lived?,"('USA',)
"
64,driving_school,"SELECT T2.zip_postcode FROM Customers AS T1 JOIN Addresses AS T2 ON T1.customer_address_id = T2.address_id WHERE T1.first_name = ""Carole"" AND T1.last_name = ""Bernhard""",What is zip code of customer with first name as Carole and last name as Bernhard?,"('75074',)
"
65,driving_school,"SELECT T2.zip_postcode FROM Customers AS T1 JOIN Addresses AS T2 ON T1.customer_address_id = T2.address_id WHERE T1.first_name = ""Carole"" AND T1.last_name = ""Bernhard""",What is the zip code of the customer Carole Bernhard?,"('75074',)
"
66,driving_school,SELECT T2.city FROM Customers AS T1 JOIN Addresses AS T2 ON T1.customer_address_id = T2.address_id GROUP BY T2.city ORDER BY count(*) DESC LIMIT 1;,Which city does has most number of customers?,"('South Richieport',)
"
67,driving_school,SELECT T2.city FROM Customers AS T1 JOIN Addresses AS T2 ON T1.customer_address_id = T2.address_id GROUP BY T2.city ORDER BY count(*) DESC LIMIT 1;,What is the city with the most customers?,"('South Richieport',)
"
68,driving_school,"SELECT sum(T1.amount_payment) FROM Customer_Payments AS T1 JOIN Customers AS T2 ON T1.customer_id = T2.customer_id WHERE T2.first_name = ""Carole"" AND T2.last_name = ""Bernhard""",How much in total does customer with first name as Carole and last name as Bernhard paid?,"(9886.62,)
"
69,driving_school,"SELECT sum(T1.amount_payment) FROM Customer_Payments AS T1 JOIN Customers AS T2 ON T1.customer_id = T2.customer_id WHERE T2.first_name = ""Carole"" AND T2.last_name = ""Bernhard""",What is the total amount of moeny paid by the customer Carole Bernhard?,"(9886.62,)
"
70,driving_school,SELECT count(*) FROM Customers WHERE customer_id NOT IN ( SELECT customer_id FROM Customer_Payments );,List the number of customers that did not have any payment history.,"(4,)
"
71,driving_school,SELECT count(*) FROM Customers WHERE customer_id NOT IN ( SELECT customer_id FROM Customer_Payments );,How many customers have no payment histories?,"(4,)
"
72,driving_school,"SELECT T2.first_name ,  T2.last_name FROM Customer_Payments AS T1 JOIN Customers AS T2 ON T1.customer_id = T2.customer_id GROUP BY T1.customer_id HAVING count(*)  >  2;",List first name and last name of customers that have more than 2 payments.,"('Estelle', 'Grant')
"
73,driving_school,"SELECT T2.first_name ,  T2.last_name FROM Customer_Payments AS T1 JOIN Customers AS T2 ON T1.customer_id = T2.customer_id GROUP BY T1.customer_id HAVING count(*)  >  2;",What are the first and last names of all customers with more than 2 payments?,"('Estelle', 'Grant')
"
74,driving_school,"SELECT payment_method_code ,  count(*) FROM Customer_Payments GROUP BY payment_method_code;",List all payment methods and number of payments using each payment methods.,"('Credit Card', 5)
('Direct Debit', 10)
"
75,driving_school,"SELECT payment_method_code ,  count(*) FROM Customer_Payments GROUP BY payment_method_code;","For each payment method, how many payments were made?","('Credit Card', 5)
('Direct Debit', 10)
"
76,driving_school,"SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";",How many lessons were in cancelled state?,"(9,)
"
77,driving_school,"SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";",How many lessons have been cancelled?,"(9,)
"
78,driving_school,"SELECT T1.lesson_id FROM Lessons AS T1 JOIN Staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn"" AND nickname LIKE ""%s%"";","List lesson id of all lessons taught by staff with first name as Janessa, last name as Sawayn and nickname containing letter 's'.","(4,)
"
79,driving_school,"SELECT T1.lesson_id FROM Lessons AS T1 JOIN Staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn"" AND nickname LIKE ""%s%"";",What are the the lesson ids of all staff taught by Janessa Sawayn whose nickname has the letter s?,"(4,)
"
80,driving_school,"SELECT count(*) FROM Lessons AS T1 JOIN Staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name LIKE ""%a%""",How many lessons taught by staff whose first name has letter 'a' in it?,"(5,)
"
81,driving_school,"SELECT count(*) FROM Lessons AS T1 JOIN Staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name LIKE ""%a%""",How many lessons were taught by a staff member whose first name has the letter 'a' in it?,"(5,)
"
82,driving_school,"SELECT sum(lesson_time) FROM Lessons AS T1 JOIN Staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn"";",How long is the total lesson time taught by staff with first name as Janessa and last name as Sawayn?,"(9,)
"
83,driving_school,"SELECT sum(lesson_time) FROM Lessons AS T1 JOIN Staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn"";",What is the total time for all lessons taught by Janessa Sawayn?,"(9,)
"
84,driving_school,"SELECT avg(price) FROM Lessons AS T1 JOIN Staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn"";",What is average lesson price taught by staff with first name as Janessa and last name as Sawayn?,"(306.0,)
"
85,driving_school,"SELECT avg(price) FROM Lessons AS T1 JOIN Staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn"";",What is the average price for a lesson taught by Janessa Sawayn?,"(306.0,)
"
86,driving_school,"SELECT count(*) FROM Lessons AS T1 JOIN Customers AS T2 ON T1.customer_id  = T2.customer_id WHERE T2.first_name = ""Ray""",How many lesson does customer with first name Ray took?,"(2,)
"
87,driving_school,"SELECT count(*) FROM Lessons AS T1 JOIN Customers AS T2 ON T1.customer_id  = T2.customer_id WHERE T2.first_name = ""Ray""",How many lessons did the customer with the first name Ray take?,"(2,)
"
88,driving_school,SELECT last_name FROM Customers INTERSECT SELECT last_name FROM Staff,Which last names are both used by customers and by staff?,"('Mertz',)
"
89,driving_school,SELECT last_name FROM Customers INTERSECT SELECT last_name FROM Staff,What are the last names that are used by customers and staff?,"('Mertz',)
"
90,driving_school,SELECT first_name FROM Staff EXCEPT SELECT T2.first_name FROM Lessons AS T1 JOIN Staff AS T2 ON T1.staff_id  =  T2.staff_id,What is the first name of the staff who did not give any lesson?,"('Camylle',)
('Ernestina',)
('Eulalia',)
('Jaleel',)
('Margie',)
('Queenie',)
"
91,driving_school,SELECT first_name FROM Staff EXCEPT SELECT T2.first_name FROM Lessons AS T1 JOIN Staff AS T2 ON T1.staff_id  =  T2.staff_id,What is the first name of all employees who do not give any lessons?,"('Camylle',)
('Ernestina',)
('Eulalia',)
('Jaleel',)
('Margie',)
('Queenie',)
"
92,driving_school,"SELECT T1.vehicle_id ,  T1.vehicle_details FROM Vehicles AS T1 JOIN Lessons AS T2 ON T1.vehicle_id  =  T2.vehicle_id GROUP BY T1.vehicle_id ORDER BY count(*) DESC LIMIT 1",What is the id and detail of the vehicle used in lessons for most of the times?,"(2, 'Truck')
"
