id,db_id,query,question,query_res
13,apartment_rentals,"SELECT min(bathroom_count) ,  max(bathroom_count) FROM Apartments",Give me the minimum and maximum bathroom count among all the apartments.,"(1, 3)
"
14,apartment_rentals,SELECT avg(bedroom_count) FROM Apartments,What is the average number of bedrooms of all apartments?,"(4.466666666666667,)
"
15,apartment_rentals,SELECT avg(bedroom_count) FROM Apartments,Find the average number of bedrooms of all the apartments.,"(4.466666666666667,)
"
16,apartment_rentals,"SELECT apt_number ,  room_count FROM Apartments",Return the apartment number and the number of rooms for each apartment.,"('Suite 645', '7')
('Apt. 585', '5')
('Apt. 908', '7')
('Suite 749', '8')
('Suite 307', '9')
('Apt. 187', '9')
('Suite 088', '6')
('Suite 693', '9')
('Apt. 940', '8')
('Apt. 859', '6')
('Apt. 794', '3')
('Apt. 477', '3')
('Apt. 411', '9')
('Apt. 837', '8')
('Suite 634', '8')
"
17,apartment_rentals,"SELECT apt_number ,  room_count FROM Apartments",What are the apartment number and the room count of each apartment?,"('Suite 645', '7')
('Apt. 585', '5')
('Apt. 908', '7')
('Suite 749', '8')
('Suite 307', '9')
('Apt. 187', '9')
('Suite 088', '6')
('Suite 693', '9')
('Apt. 940', '8')
('Apt. 859', '6')
('Apt. 794', '3')
('Apt. 477', '3')
('Apt. 411', '9')
('Apt. 837', '8')
('Suite 634', '8')
"
18,apartment_rentals,"SELECT avg(room_count) FROM Apartments WHERE apt_type_code  =  ""Studio""","What is the average number of rooms of apartments with type code ""Studio""?","(7.5,)
"
19,apartment_rentals,"SELECT avg(room_count) FROM Apartments WHERE apt_type_code  =  ""Studio""","Find the average room count of the apartments that have the ""Studio"" type code.","(7.5,)
"
20,apartment_rentals,"SELECT apt_number FROM Apartments WHERE apt_type_code  =  ""Flat""","Return the apartment numbers of the apartments with type code ""Flat"".","('Suite 645',)
('Apt. 585',)
('Suite 307',)
('Suite 693',)
('Apt. 794',)
('Apt. 837',)
"
21,apartment_rentals,"SELECT apt_number FROM Apartments WHERE apt_type_code  =  ""Flat""","Which apartments have type code ""Flat""? Give me their apartment numbers.","('Suite 645',)
('Apt. 585',)
('Suite 307',)
('Suite 693',)
('Apt. 794',)
('Apt. 837',)
"
22,apartment_rentals,"SELECT guest_first_name ,  guest_last_name FROM Guests",Return the first names and last names of all guests,"('Kip', 'DuBuque')
('Rebeca', 'Runolfsdottir')
('Keon', 'Treutel')
('Gabe', 'Bode')
('Lou', 'Grady')
('Josefina', 'Jerde')
('Mozell', 'Toy')
('Keith', 'Hoeger')
('Crystal', 'Runolfsson')
('Nikki', 'Lehner')
('Gregoria', 'Schowalter')
('Louvenia', 'Crona')
('Else', 'Roberts')
('Juvenal', 'Kautzer')
('Tamia', 'Mante')
"
23,apartment_rentals,"SELECT guest_first_name ,  guest_last_name FROM Guests",What are the first names and last names of all the guests?,"('Kip', 'DuBuque')
('Rebeca', 'Runolfsdottir')
('Keon', 'Treutel')
('Gabe', 'Bode')
('Lou', 'Grady')
('Josefina', 'Jerde')
('Mozell', 'Toy')
('Keith', 'Hoeger')
('Crystal', 'Runolfsson')
('Nikki', 'Lehner')
('Gregoria', 'Schowalter')
('Louvenia', 'Crona')
('Else', 'Roberts')
('Juvenal', 'Kautzer')
('Tamia', 'Mante')
"
24,apartment_rentals,"SELECT date_of_birth FROM Guests WHERE gender_code  =  ""Male""","Return the date of birth for all the guests with gender code ""Male"".","('1995-11-04 07:09:57',)
('2015-02-03 23:34:13',)
('1983-08-26 15:45:08',)
"
25,apartment_rentals,"SELECT date_of_birth FROM Guests WHERE gender_code  =  ""Male""","What are dates of birth of all the guests whose gender is ""Male""?","('1995-11-04 07:09:57',)
('2015-02-03 23:34:13',)
('1983-08-26 15:45:08',)
"
26,apartment_rentals,"SELECT T2.apt_number ,  T1.booking_start_date ,  T1.booking_start_date FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id","Show the apartment numbers, start dates, and end dates of all the apartment bookings.","('Apt. 859', '2016-09-26 17:13:49', '2016-09-26 17:13:49')
('Suite 634', '2016-04-01 06:28:08', '2016-04-01 06:28:08')
('Suite 693', '2017-03-13 16:20:14', '2017-03-13 16:20:14')
('Suite 749', '2016-08-04 10:33:00', '2016-08-04 10:33:00')
('Apt. 940', '2017-02-11 14:34:14', '2017-02-11 14:34:14')
('Suite 088', '2016-05-24 20:09:38', '2016-05-24 20:09:38')
('Apt. 859', '2016-07-25 02:57:04', '2016-07-25 02:57:04')
('Suite 693', '2016-11-26 05:04:31', '2016-11-26 05:04:31')
('Apt. 187', '2017-05-13 18:17:20', '2017-05-13 18:17:20')
('Apt. 477', '2017-03-04 02:23:49', '2017-03-04 02:23:49')
('Suite 749', '2016-06-07 05:05:18', '2016-06-07 05:05:18')
('Apt. 794', '2016-04-17 12:53:59', '2016-04-17 12:53:59')
('Apt. 859', '2016-09-28 05:00:50', '2016-09-28 05:00:50')
('Apt. 585', '2017-04-07 04:53:27', '2017-04-07 04:53:27')
('Suite 693', '2017-07-03 14:15:56', '2017-07-03 14:15:56')
"
27,apartment_rentals,"SELECT T2.apt_number ,  T1.booking_start_date ,  T1.booking_start_date FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id","What are the apartment number, start date, and end date of each apartment booking?","('Apt. 859', '2016-09-26 17:13:49', '2016-09-26 17:13:49')
('Suite 634', '2016-04-01 06:28:08', '2016-04-01 06:28:08')
('Suite 693', '2017-03-13 16:20:14', '2017-03-13 16:20:14')
('Suite 749', '2016-08-04 10:33:00', '2016-08-04 10:33:00')
('Apt. 940', '2017-02-11 14:34:14', '2017-02-11 14:34:14')
('Suite 088', '2016-05-24 20:09:38', '2016-05-24 20:09:38')
('Apt. 859', '2016-07-25 02:57:04', '2016-07-25 02:57:04')
('Suite 693', '2016-11-26 05:04:31', '2016-11-26 05:04:31')
('Apt. 187', '2017-05-13 18:17:20', '2017-05-13 18:17:20')
('Apt. 477', '2017-03-04 02:23:49', '2017-03-04 02:23:49')
('Suite 749', '2016-06-07 05:05:18', '2016-06-07 05:05:18')
('Apt. 794', '2016-04-17 12:53:59', '2016-04-17 12:53:59')
('Apt. 859', '2016-09-28 05:00:50', '2016-09-28 05:00:50')
('Apt. 585', '2017-04-07 04:53:27', '2017-04-07 04:53:27')
('Suite 693', '2017-07-03 14:15:56', '2017-07-03 14:15:56')
"
28,apartment_rentals,"SELECT T1.booking_start_date ,  T1.booking_start_date FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T2.apt_type_code  =  ""Duplex""","What are the booking start and end dates of the apartments with type code ""Duplex""?","('2016-09-26 17:13:49', '2016-09-26 17:13:49')
('2016-04-01 06:28:08', '2016-04-01 06:28:08')
('2016-08-04 10:33:00', '2016-08-04 10:33:00')
('2016-07-25 02:57:04', '2016-07-25 02:57:04')
('2017-03-04 02:23:49', '2017-03-04 02:23:49')
('2016-06-07 05:05:18', '2016-06-07 05:05:18')
('2016-09-28 05:00:50', '2016-09-28 05:00:50')
"
29,apartment_rentals,"SELECT T1.booking_start_date ,  T1.booking_start_date FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T2.apt_type_code  =  ""Duplex""","Return the booking start date and end date for the apartments that have type code ""Duplex"".","('2016-09-26 17:13:49', '2016-09-26 17:13:49')
('2016-04-01 06:28:08', '2016-04-01 06:28:08')
('2016-08-04 10:33:00', '2016-08-04 10:33:00')
('2016-07-25 02:57:04', '2016-07-25 02:57:04')
('2017-03-04 02:23:49', '2017-03-04 02:23:49')
('2016-06-07 05:05:18', '2016-06-07 05:05:18')
('2016-09-28 05:00:50', '2016-09-28 05:00:50')
"
30,apartment_rentals,"SELECT T1.booking_start_date ,  T1.booking_start_date FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T2.bedroom_count  >  2",What are the booking start and end dates of the apartments with more than 2 bedrooms?,"('2016-09-26 17:13:49', '2016-09-26 17:13:49')
('2016-04-01 06:28:08', '2016-04-01 06:28:08')
('2017-03-13 16:20:14', '2017-03-13 16:20:14')
('2016-08-04 10:33:00', '2016-08-04 10:33:00')
('2017-02-11 14:34:14', '2017-02-11 14:34:14')
('2016-05-24 20:09:38', '2016-05-24 20:09:38')
('2016-07-25 02:57:04', '2016-07-25 02:57:04')
('2016-11-26 05:04:31', '2016-11-26 05:04:31')
('2017-05-13 18:17:20', '2017-05-13 18:17:20')
('2017-03-04 02:23:49', '2017-03-04 02:23:49')
('2016-06-07 05:05:18', '2016-06-07 05:05:18')
('2016-04-17 12:53:59', '2016-04-17 12:53:59')
('2016-09-28 05:00:50', '2016-09-28 05:00:50')
('2017-04-07 04:53:27', '2017-04-07 04:53:27')
('2017-07-03 14:15:56', '2017-07-03 14:15:56')
"
31,apartment_rentals,"SELECT T1.booking_start_date ,  T1.booking_start_date FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T2.bedroom_count  >  2",Find the booking start date and end date for the apartments that have more than two bedrooms.,"('2016-09-26 17:13:49', '2016-09-26 17:13:49')
('2016-04-01 06:28:08', '2016-04-01 06:28:08')
('2017-03-13 16:20:14', '2017-03-13 16:20:14')
('2016-08-04 10:33:00', '2016-08-04 10:33:00')
('2017-02-11 14:34:14', '2017-02-11 14:34:14')
('2016-05-24 20:09:38', '2016-05-24 20:09:38')
('2016-07-25 02:57:04', '2016-07-25 02:57:04')
('2016-11-26 05:04:31', '2016-11-26 05:04:31')
('2017-05-13 18:17:20', '2017-05-13 18:17:20')
('2017-03-04 02:23:49', '2017-03-04 02:23:49')
('2016-06-07 05:05:18', '2016-06-07 05:05:18')
('2016-04-17 12:53:59', '2016-04-17 12:53:59')
('2016-09-28 05:00:50', '2016-09-28 05:00:50')
('2017-04-07 04:53:27', '2017-04-07 04:53:27')
('2017-07-03 14:15:56', '2017-07-03 14:15:56')
"
32,apartment_rentals,"SELECT T1.booking_status_code FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T2.apt_number  =  ""Suite 634""","What is the booking status code of the apartment with apartment number ""Suite 634""?","('Provisional',)
"
33,apartment_rentals,"SELECT T1.booking_status_code FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T2.apt_number  =  ""Suite 634""","Tell me the booking status code for the apartment with number ""Suite 634"".","('Provisional',)
"
34,apartment_rentals,"SELECT DISTINCT T2.apt_number FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  ""Confirmed""","Show the distinct apartment numbers of the apartments that have bookings with status code ""Confirmed"".","('Suite 749',)
('Apt. 940',)
('Apt. 859',)
('Suite 693',)
('Apt. 585',)
"
35,apartment_rentals,"SELECT DISTINCT T2.apt_number FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  ""Confirmed""","Which apartments have bookings with status code ""Confirmed""? Return their apartment numbers.","('Suite 749',)
('Apt. 940',)
('Apt. 859',)
('Suite 693',)
('Apt. 585',)
"
36,apartment_rentals,"SELECT avg(room_count) FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  ""Provisional""","Show the average room count of the apartments that have booking status code ""Provisional"".","(6.5,)
"
37,apartment_rentals,"SELECT avg(room_count) FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  ""Provisional""","What is the average room count of the apartments whose booking status code is ""Provisional""?","(6.5,)
"
38,apartment_rentals,"SELECT T2.guest_first_name ,  T1.booking_start_date ,  T1.booking_start_date FROM Apartment_Bookings AS T1 JOIN Guests AS T2 ON T1.guest_id  =  T2.guest_id","Show the guest first names, start dates, and end dates of all the apartment bookings.","('Rebeca', '2016-09-26 17:13:49', '2016-09-26 17:13:49')
('Tamia', '2016-04-01 06:28:08', '2016-04-01 06:28:08')
('Lou', '2017-03-13 16:20:14', '2017-03-13 16:20:14')
('Else', '2016-08-04 10:33:00', '2016-08-04 10:33:00')
('Louvenia', '2017-02-11 14:34:14', '2017-02-11 14:34:14')
('Juvenal', '2016-05-24 20:09:38', '2016-05-24 20:09:38')
('Keith', '2016-07-25 02:57:04', '2016-07-25 02:57:04')
('Mozell', '2016-11-26 05:04:31', '2016-11-26 05:04:31')
('Keon', '2017-05-13 18:17:20', '2017-05-13 18:17:20')
('Rebeca', '2017-03-04 02:23:49', '2017-03-04 02:23:49')
('Lou', '2016-06-07 05:05:18', '2016-06-07 05:05:18')
('Rebeca', '2016-04-17 12:53:59', '2016-04-17 12:53:59')
('Gabe', '2016-09-28 05:00:50', '2016-09-28 05:00:50')
('Rebeca', '2017-04-07 04:53:27', '2017-04-07 04:53:27')
('Keon', '2017-07-03 14:15:56', '2017-07-03 14:15:56')
"
39,apartment_rentals,"SELECT T2.guest_first_name ,  T1.booking_start_date ,  T1.booking_start_date FROM Apartment_Bookings AS T1 JOIN Guests AS T2 ON T1.guest_id  =  T2.guest_id","What are the guest first name, start date, and end date of each apartment booking?","('Rebeca', '2016-09-26 17:13:49', '2016-09-26 17:13:49')
('Tamia', '2016-04-01 06:28:08', '2016-04-01 06:28:08')
('Lou', '2017-03-13 16:20:14', '2017-03-13 16:20:14')
('Else', '2016-08-04 10:33:00', '2016-08-04 10:33:00')
('Louvenia', '2017-02-11 14:34:14', '2017-02-11 14:34:14')
('Juvenal', '2016-05-24 20:09:38', '2016-05-24 20:09:38')
('Keith', '2016-07-25 02:57:04', '2016-07-25 02:57:04')
('Mozell', '2016-11-26 05:04:31', '2016-11-26 05:04:31')
('Keon', '2017-05-13 18:17:20', '2017-05-13 18:17:20')
('Rebeca', '2017-03-04 02:23:49', '2017-03-04 02:23:49')
('Lou', '2016-06-07 05:05:18', '2016-06-07 05:05:18')
('Rebeca', '2016-04-17 12:53:59', '2016-04-17 12:53:59')
('Gabe', '2016-09-28 05:00:50', '2016-09-28 05:00:50')
('Rebeca', '2017-04-07 04:53:27', '2017-04-07 04:53:27')
('Keon', '2017-07-03 14:15:56', '2017-07-03 14:15:56')
"
40,apartment_rentals,"SELECT T1.booking_start_date ,  T1.booking_start_date FROM Apartment_Bookings AS T1 JOIN Guests AS T2 ON T1.guest_id  =  T2.guest_id WHERE T2.gender_code  =  ""Female""","Show the start dates and end dates of all the apartment bookings made by guests with gender code ""Female"".","('2016-04-01 06:28:08', '2016-04-01 06:28:08')
('2017-03-13 16:20:14', '2017-03-13 16:20:14')
('2016-08-04 10:33:00', '2016-08-04 10:33:00')
('2016-05-24 20:09:38', '2016-05-24 20:09:38')
('2016-11-26 05:04:31', '2016-11-26 05:04:31')
('2017-05-13 18:17:20', '2017-05-13 18:17:20')
('2016-06-07 05:05:18', '2016-06-07 05:05:18')
('2016-09-28 05:00:50', '2016-09-28 05:00:50')
('2017-07-03 14:15:56', '2017-07-03 14:15:56')
"
41,apartment_rentals,"SELECT T1.booking_start_date ,  T1.booking_start_date FROM Apartment_Bookings AS T1 JOIN Guests AS T2 ON T1.guest_id  =  T2.guest_id WHERE T2.gender_code  =  ""Female""","What are the start date and end date of the apartment bookings made by female guests (gender code ""Female"")?","('2016-04-01 06:28:08', '2016-04-01 06:28:08')
('2017-03-13 16:20:14', '2017-03-13 16:20:14')
('2016-08-04 10:33:00', '2016-08-04 10:33:00')
('2016-05-24 20:09:38', '2016-05-24 20:09:38')
('2016-11-26 05:04:31', '2016-11-26 05:04:31')
('2017-05-13 18:17:20', '2017-05-13 18:17:20')
('2016-06-07 05:05:18', '2016-06-07 05:05:18')
('2016-09-28 05:00:50', '2016-09-28 05:00:50')
('2017-07-03 14:15:56', '2017-07-03 14:15:56')
"
42,apartment_rentals,"SELECT T2.guest_first_name ,  T2.guest_last_name FROM Apartment_Bookings AS T1 JOIN Guests AS T2 ON T1.guest_id  =  T2.guest_id WHERE T1.booking_status_code  =  ""Confirmed""","Show the first names and last names of all the guests that have apartment bookings with status code ""Confirmed"".","('Else', 'Roberts')
('Louvenia', 'Crona')
('Keith', 'Hoeger')
('Mozell', 'Toy')
('Gabe', 'Bode')
('Rebeca', 'Runolfsdottir')
('Keon', 'Treutel')
"
43,apartment_rentals,"SELECT T2.guest_first_name ,  T2.guest_last_name FROM Apartment_Bookings AS T1 JOIN Guests AS T2 ON T1.guest_id  =  T2.guest_id WHERE T1.booking_status_code  =  ""Confirmed""","Which guests have apartment bookings with status code ""Confirmed""? Return their first names and last names.","('Else', 'Roberts')
('Louvenia', 'Crona')
('Keith', 'Hoeger')
('Mozell', 'Toy')
('Gabe', 'Bode')
('Rebeca', 'Runolfsdottir')
('Keon', 'Treutel')
"
44,apartment_rentals,SELECT T1.facility_code FROM Apartment_Facilities AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T2.bedroom_count  >  4,Show the facility codes of apartments with more than 4 bedrooms.,"('Gym',)
('Cable TV',)
('Gym',)
"
45,apartment_rentals,SELECT T1.facility_code FROM Apartment_Facilities AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T2.bedroom_count  >  4,What are the facility codes of the apartments with more than four bedrooms?,"('Gym',)
('Cable TV',)
('Gym',)
"
46,apartment_rentals,"SELECT sum(T2.room_count) FROM Apartment_Facilities AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.facility_code  =  ""Gym""","Show the total number of rooms of all apartments with facility code ""Gym"".","(15,)
"
47,apartment_rentals,"SELECT sum(T2.room_count) FROM Apartment_Facilities AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.facility_code  =  ""Gym""","Find the total number of rooms in the apartments that have facility code ""Gym"".","(15,)
"
48,apartment_rentals,"SELECT sum(T2.room_count) FROM Apartment_Buildings AS T1 JOIN Apartments AS T2 ON T1.building_id  =  T2.building_id WHERE T1.building_short_name  =  ""Columbus Square""","Show the total number of rooms of the apartments in the building with short name ""Columbus Square"".","(29,)
"
49,apartment_rentals,"SELECT sum(T2.room_count) FROM Apartment_Buildings AS T1 JOIN Apartments AS T2 ON T1.building_id  =  T2.building_id WHERE T1.building_short_name  =  ""Columbus Square""","How many rooms in total are there in the apartments in the building with short name ""Columbus Square""?","(29,)
"
50,apartment_rentals,SELECT T1.building_address FROM Apartment_Buildings AS T1 JOIN Apartments AS T2 ON T1.building_id  =  T2.building_id WHERE T2.bathroom_count  >  2,Show the addresses of the buildings that have apartments with more than 2 bathrooms.,"('71537 Gorczany Inlet\nWisozkburgh, AL 08256',)
('489 Josh Orchard Apt. 998\nSipesview, DE 69053',)
"
51,apartment_rentals,SELECT T1.building_address FROM Apartment_Buildings AS T1 JOIN Apartments AS T2 ON T1.building_id  =  T2.building_id WHERE T2.bathroom_count  >  2,Which buildings have apartments that have more than two bathrooms? Give me the addresses of the buildings.,"('71537 Gorczany Inlet\nWisozkburgh, AL 08256',)
('489 Josh Orchard Apt. 998\nSipesview, DE 69053',)
"
52,apartment_rentals,"SELECT T2.apt_type_code ,  T2.apt_number FROM Apartment_Buildings AS T1 JOIN Apartments AS T2 ON T1.building_id  =  T2.building_id WHERE T1.building_manager  =  ""Kyle""","Show the apartment type codes and apartment numbers in the buildings managed by ""Kyle"".","('Studio', 'Apt. 908')
('Duplex', 'Suite 749')
('Duplex', 'Apt. 859')
('Flat', 'Apt. 837')
"
53,apartment_rentals,"SELECT T2.apt_type_code ,  T2.apt_number FROM Apartment_Buildings AS T1 JOIN Apartments AS T2 ON T1.building_id  =  T2.building_id WHERE T1.building_manager  =  ""Kyle""","What apartment type codes and apartment numbers do the buildings managed by ""Kyle"" have?","('Studio', 'Apt. 908')
('Duplex', 'Suite 749')
('Duplex', 'Apt. 859')
('Flat', 'Apt. 837')
"
54,apartment_rentals,"SELECT 	booking_status_code ,  COUNT(*) FROM Apartment_Bookings GROUP BY booking_status_code",Show the booking status code and the corresponding number of bookings.,"('Confirmed', 7)
('Provisional', 8)
"
55,apartment_rentals,"SELECT 	booking_status_code ,  COUNT(*) FROM Apartment_Bookings GROUP BY booking_status_code",How many bookings does each booking status have? List the booking status code and the number of corresponding bookings.,"('Confirmed', 7)
('Provisional', 8)
"
56,apartment_rentals,SELECT apt_number FROM Apartments ORDER BY room_count ASC,Return all the apartment numbers sorted by the room count in ascending order.,"('Apt. 794',)
('Apt. 477',)
('Apt. 585',)
('Suite 088',)
('Apt. 859',)
('Suite 645',)
('Apt. 908',)
('Suite 749',)
('Apt. 940',)
('Apt. 837',)
('Suite 634',)
('Suite 307',)
('Apt. 187',)
('Suite 693',)
('Apt. 411',)
"
57,apartment_rentals,SELECT apt_number FROM Apartments ORDER BY room_count ASC,Sort the apartment numbers in ascending order of room count.,"('Apt. 794',)
('Apt. 477',)
('Apt. 585',)
('Suite 088',)
('Apt. 859',)
('Suite 645',)
('Apt. 908',)
('Suite 749',)
('Apt. 940',)
('Apt. 837',)
('Suite 634',)
('Suite 307',)
('Apt. 187',)
('Suite 693',)
('Apt. 411',)
"
58,apartment_rentals,SELECT apt_number FROM Apartments ORDER BY bedroom_count DESC LIMIT 1,Return the apartment number with the largest number of bedrooms.,"('Apt. 908',)
"
59,apartment_rentals,SELECT apt_number FROM Apartments ORDER BY bedroom_count DESC LIMIT 1,What is the apartment number of the apartment with the most beds?,"('Apt. 908',)
"
60,apartment_rentals,"SELECT apt_type_code ,  COUNT(*) FROM Apartments GROUP BY apt_type_code ORDER BY COUNT(*) ASC",Show the apartment type codes and the corresponding number of apartments sorted by the number of apartments in ascending order.,"('Studio', 4)
('Duplex', 5)
('Flat', 6)
"
61,apartment_rentals,"SELECT apt_type_code ,  COUNT(*) FROM Apartments GROUP BY apt_type_code ORDER BY COUNT(*) ASC","Return each apartment type code with the number of apartments having that apartment type, in ascending order of the number of apartments.","('Studio', 4)
('Duplex', 5)
('Flat', 6)
"
62,apartment_rentals,SELECT apt_type_code FROM Apartments GROUP BY apt_type_code ORDER BY avg(room_count) DESC LIMIT 3,Show the top 3 apartment type codes sorted by the average number of rooms in descending order.,"('Studio',)
('Flat',)
('Duplex',)
"
63,apartment_rentals,SELECT apt_type_code FROM Apartments GROUP BY apt_type_code ORDER BY avg(room_count) DESC LIMIT 3,What are the top three apartment types in terms of the average room count? Give me the,"('Studio',)
('Flat',)
('Duplex',)
"
64,apartment_rentals,"SELECT apt_type_code ,  bathroom_count ,  bedroom_count FROM Apartments GROUP BY apt_type_code ORDER BY sum(room_count) DESC LIMIT 1","Show the apartment type code that has the largest number of total rooms, together with the number of bathrooms and number of bedrooms.","('Flat', 1, 3)
"
65,apartment_rentals,"SELECT apt_type_code ,  bathroom_count ,  bedroom_count FROM Apartments GROUP BY apt_type_code ORDER BY sum(room_count) DESC LIMIT 1","Which apartment type has the largest number of total rooms? Return the apartment type code, its number of bathrooms and number of bedrooms.","('Flat', 1, 3)
"
66,apartment_rentals,SELECT apt_type_code FROM Apartments GROUP BY apt_type_code ORDER BY count(*) DESC LIMIT 1,Show the most common apartment type code.,"('Flat',)
"
67,apartment_rentals,SELECT apt_type_code FROM Apartments GROUP BY apt_type_code ORDER BY count(*) DESC LIMIT 1,Which apartment type code appears the most often?,"('Flat',)
"
68,apartment_rentals,SELECT apt_type_code FROM Apartments WHERE bathroom_count  >  1 GROUP BY apt_type_code ORDER BY count(*) DESC LIMIT 1,Show the most common apartment type code among apartments with more than 1 bathroom.,"('Flat',)
"
69,apartment_rentals,SELECT apt_type_code FROM Apartments WHERE bathroom_count  >  1 GROUP BY apt_type_code ORDER BY count(*) DESC LIMIT 1,Which apartment type code is the most common among apartments with more than one bathroom?,"('Flat',)
"
